table_name,column_name,data_type
airport,id,uuid
airport,airport_code,character varying
airport,passenger_count,integer
airport,special_requests,text
airport,base_price,numeric
airport,created_at,timestamp with time zone
airport,updated_at,timestamp with time zone
airport_price,airport_code,text
airport_price,airport_category,text
airport_price,airport_route,text
airport_price,airport_car_type,text
airport_price,price,numeric
business_notifications,id,uuid
business_notifications,notification_id,uuid
business_notifications,business_type,character varying
business_notifications,department,character varying
business_notifications,urgency_level,integer
business_notifications,estimated_duration,integer
business_notifications,required_action,text
business_notifications,checklist,jsonb
business_notifications,related_users,ARRAY
business_notifications,created_at,timestamp without time zone
business_notifications,updated_at,timestamp without time zone
car,id,uuid
car,base_price,numeric
car,created_at,timestamp with time zone
car,updated_at,timestamp with time zone
car,car_code,character varying
car,special_requests,text
car,car_count,integer
car_price,car_code,text
car_price,car_category,text
car_price,cruise,text
car_price,car_type,text
car_price,price,numeric
car_price,schedule,text
car_price,passenger_count,text
confirmation_status,id,uuid
confirmation_status,reservation_id,uuid
confirmation_status,quote_id,uuid
confirmation_status,status,text
confirmation_status,generated_at,timestamp with time zone
confirmation_status,sent_at,timestamp with time zone
confirmation_status,email_sent_to,text
confirmation_status,created_at,timestamp with time zone
confirmation_status,updated_at,timestamp with time zone
cruise,id,uuid
cruise,cruise_name,character varying
cruise,departure_date,date
cruise,return_date,date
cruise,departure_port,character varying
cruise,room_type,character varying
cruise,adult_count,integer
cruise,child_count,integer
cruise,infant_count,integer
cruise,special_requests,text
cruise,base_price,numeric
cruise,created_at,timestamp with time zone
cruise,updated_at,timestamp with time zone
cruise_info,id,uuid
cruise_info,cruise_code,text
cruise_info,name,text
cruise_info,description,text
cruise_info,duration,text
cruise_info,features,jsonb
cruise_info,images,jsonb
cruise_info,base_price,numeric
cruise_info,created_at,timestamp with time zone
cruise_info,updated_at,timestamp with time zone
cruise_info,category,text
cruise_info,cruise_name,text
cruise_info,cruise_image,text
cruise_info,room_name,text
cruise_info,room_image,text
cruise_info,room_area,text
cruise_info,room_description,text
cruise_info,room_url,text
cruise_info_by_category,category,text
cruise_info_by_category,cruise_name,text
cruise_info_by_category,room_count,bigint
cruise_info_by_category,room_names,ARRAY
cruise_info_by_category,room_areas,ARRAY
cruise_info_view,id,uuid
cruise_info_view,cruise_code,text
cruise_info_view,name,text
cruise_info_view,description,text
cruise_info_view,duration,text
cruise_info_view,features,jsonb
cruise_info_view,images,jsonb
cruise_info_view,base_price,numeric
cruise_info_view,created_at,timestamp with time zone
cruise_info_view,updated_at,timestamp with time zone
cruise_location,id,uuid
cruise_location,en_name,text
cruise_location,kr_name,text
cruise_location,pier_location,text
cruise_location,pier_map_url,text
cruise_location,tour_schedule_url,text
cruise_location,details,text
cruise_location,created_at,timestamp with time zone
cruise_rooms_view,id,uuid
cruise_rooms_view,category,text
cruise_rooms_view,cruise_name,text
cruise_rooms_view,cruise_image,text
cruise_rooms_view,room_name,text
cruise_rooms_view,room_image,text
cruise_rooms_view,room_area,text
cruise_rooms_view,room_description,text
cruise_rooms_view,room_url,text
cruise_rooms_view,created_at,timestamp with time zone
cruise_rooms_view,updated_at,timestamp with time zone
customer_notifications,id,uuid
customer_notifications,notification_id,uuid
customer_notifications,customer_id,uuid
customer_notifications,customer_name,character varying
customer_notifications,customer_phone,character varying
customer_notifications,customer_email,character varying
customer_notifications,inquiry_type,character varying
customer_notifications,service_type,character varying
customer_notifications,response_deadline,timestamp without time zone
customer_notifications,customer_satisfaction,integer
customer_notifications,follow_up_required,boolean
customer_notifications,resolution_notes,text
customer_notifications,created_at,timestamp without time zone
customer_notifications,updated_at,timestamp without time zone
customer_request_attachments,id,uuid
customer_request_attachments,request_id,uuid
customer_request_attachments,file_name,text
customer_request_attachments,file_path,text
customer_request_attachments,file_size,integer
customer_request_attachments,file_type,text
customer_request_attachments,uploaded_by,text
customer_request_attachments,created_at,timestamp with time zone
customer_request_history,id,uuid
customer_request_history,request_id,uuid
customer_request_history,action_type,text
customer_request_history,previous_status,text
customer_request_history,new_status,text
customer_request_history,action_by,text
customer_request_history,action_note,text
customer_request_history,created_at,timestamp with time zone
customer_requests,id,uuid
customer_requests,request_id,text
customer_requests,user_id,text
customer_requests,request_type,text
customer_requests,request_category,text
customer_requests,title,text
customer_requests,description,text
customer_requests,urgency_level,text
customer_requests,related_quote_id,text
customer_requests,related_reservation_id,text
customer_requests,related_table,text
customer_requests,related_id,text
customer_requests,status,text
customer_requests,assigned_to,text
customer_requests,processed_by,text
customer_requests,response_message,text
customer_requests,internal_notes,text
customer_requests,request_data,jsonb
customer_requests,created_at,timestamp with time zone
customer_requests,updated_at,timestamp with time zone
customer_requests,due_date,timestamp with time zone
customer_requests,processed_at,timestamp with time zone
dispatcher_users,id,uuid
dispatcher_users,name,text
dispatcher_users,email,text
exchange_rates,id,integer
exchange_rates,currency_code,character varying
exchange_rates,rate_to_krw,numeric
exchange_rates,source,character varying
exchange_rates,last_updated,timestamp with time zone
exchange_rates,created_at,timestamp with time zone
exchange_rates,updated_at,timestamp with time zone
hotel,id,uuid
hotel,hotel_code,character varying
hotel,special_requests,text
hotel,base_price,numeric
hotel,created_at,timestamp with time zone
hotel,updated_at,timestamp with time zone
hotel,checkin_date,date
hotel,checkout_date,date
hotel_price,hotel_code,text
hotel_price,hotel_name,text
hotel_price,room_name,text
hotel_price,room_type,text
hotel_price,price,numeric
hotel_price,start_date,date
hotel_price,end_date,date
hotel_price,weekday_type,text
manager_reservations,re_id,uuid
manager_reservations,re_user_id,uuid
manager_reservations,re_quote_id,uuid
manager_reservations,re_type,text
manager_reservations,re_status,text
manager_reservations,re_created_at,timestamp with time zone
manager_reservations,re_update_at,timestamp with time zone
manager_reservations,total_amount,numeric
manager_reservations,customer_name,text
manager_reservations,customer_email,text
manager_reservations,customer_phone,text
notification_reads,id,uuid
notification_reads,notification_id,uuid
notification_reads,user_id,uuid
notification_reads,read_at,timestamp without time zone
notification_templates,id,uuid
notification_templates,name,character varying
notification_templates,type,character varying
notification_templates,category,character varying
notification_templates,title_template,character varying
notification_templates,message_template,text
notification_templates,default_priority,character varying
notification_templates,auto_assign_rule,jsonb
notification_templates,is_active,boolean
notification_templates,created_at,timestamp without time zone
notification_templates,updated_at,timestamp without time zone
notifications,id,uuid
notifications,type,character varying
notifications,category,character varying
notifications,title,character varying
notifications,message,text
notifications,target_id,text
notifications,target_table,character varying
notifications,priority,character varying
notifications,status,character varying
notifications,created_by,uuid
notifications,assigned_to,uuid
notifications,due_date,timestamp without time zone
notifications,metadata,jsonb
notifications,created_at,timestamp without time zone
notifications,updated_at,timestamp without time zone
notifications,processed_at,timestamp without time zone
notifications,processed_by_name,character varying
notifications,subcategory,text
notifications,customer_name,text
notifications,customer_email,text
notifications,customer_phone,text
payment_info,code,text
payment_info,name,text
payment_notifications,id,uuid
payment_notifications,reservation_id,uuid
payment_notifications,notification_type,text
payment_notifications,notification_date,date
payment_notifications,message_content,text
payment_notifications,is_sent,boolean
payment_notifications,sent_at,timestamp with time zone
payment_notifications,created_at,timestamp with time zone
payment_notifications,recipient_email,text
payment_notifications,recipient_phone,text
payment_notifications,priority,text
quote,id,uuid
quote,user_id,uuid
quote,status,character varying
quote,title,character varying
quote,description,text
quote,total_price,numeric
quote,created_at,timestamp with time zone
quote,updated_at,timestamp with time zone
quote,submitted_at,timestamp with time zone
quote,approved_at,timestamp with time zone
quote,manager_note,text
quote,payment_status,text
quote,confirmed_at,timestamp with time zone
quote_item,id,uuid
quote_item,quote_id,uuid
quote_item,service_type,character varying
quote_item,service_ref_id,uuid
quote_item,quantity,integer
quote_item,unit_price,numeric
quote_item,total_price,numeric
quote_item,options,jsonb
quote_item,created_at,timestamp with time zone
quote_item,updated_at,timestamp with time zone
quote_item,usage_date,date
rent_price,rent_code,text
rent_price,rent_type,text
rent_price,rent_category,text
rent_price,rent_route,text
rent_price,rent_car_type,text
rent_price,price,numeric
rentcar,id,uuid
rentcar,rentcar_code,character varying
rentcar,special_requests,text
rentcar,base_price,numeric
rentcar,created_at,timestamp with time zone
rentcar,updated_at,timestamp with time zone
reservation,re_id,uuid
reservation,re_user_id,uuid
reservation,re_quote_id,uuid
reservation,re_type,text
reservation,re_status,text
reservation,re_created_at,timestamp with time zone
reservation,re_update_at,timestamp with time zone
reservation,total_amount,numeric
reservation,paid_amount,numeric
reservation,payment_status,text
reservation_airport,id,uuid
reservation_airport,reservation_id,uuid
reservation_airport,airport_price_code,text
reservation_airport,ra_airport_location,text
reservation_airport,ra_flight_number,text
reservation_airport,ra_datetime,timestamp without time zone
reservation_airport,ra_stopover_location,text
reservation_airport,ra_stopover_wait_minutes,integer
reservation_airport,ra_car_count,integer
reservation_airport,ra_passenger_count,integer
reservation_airport,ra_luggage_count,integer
reservation_airport,request_note,text
reservation_airport,ra_is_processed,text
reservation_airport,unit_price,numeric
reservation_airport,total_price,numeric
reservation_airport,created_at,timestamp with time zone
reservation_airport,dispatch_code,text
reservation_airport,pickup_confirmed_at,timestamp with time zone
reservation_airport,dispatch_memo,text
reservation_car_sht,reservation_id,uuid
reservation_car_sht,vehicle_number,text
reservation_car_sht,seat_number,text
reservation_car_sht,sht_category,text
reservation_car_sht,id,uuid
reservation_car_sht,created_at,timestamp with time zone
reservation_car_sht,usage_date,timestamp with time zone
reservation_car_sht,dispatch_code,text
reservation_car_sht,pickup_confirmed_at,timestamp with time zone
reservation_car_sht,dispatch_memo,text
reservation_car_sht,car_price_code,text
reservation_car_sht,car_count,integer
reservation_car_sht,passenger_count,integer
reservation_car_sht,pickup_datetime,date
reservation_car_sht,pickup_location,text
reservation_car_sht,dropoff_location,text
reservation_car_sht,car_total_price,numeric
reservation_car_sht,request_note,text
reservation_car_sht,updated_at,timestamp with time zone
reservation_car_sht,unit_price,numeric
reservation_confirmation,id,uuid
reservation_confirmation,quote_id,uuid
reservation_confirmation,sender_id,uuid
reservation_confirmation,method,text
reservation_confirmation,status,text
reservation_confirmation,subject,text
reservation_confirmation,recipient_email,text
reservation_confirmation,meta,jsonb
reservation_confirmation,created_at,timestamp with time zone
reservation_confirmation,sent_at,timestamp with time zone
reservation_confirmation,reservation_id,uuid
reservation_cruise,reservation_id,uuid
reservation_cruise,room_price_code,text
reservation_cruise,checkin,date
reservation_cruise,guest_count,integer
reservation_cruise,unit_price,numeric
reservation_cruise,room_total_price,numeric
reservation_cruise,request_note,text
reservation_cruise,id,uuid
reservation_cruise,created_at,timestamp with time zone
reservation_cruise,boarding_code,text
reservation_cruise,boarding_assist,boolean
reservation_cruise_car,id,uuid
reservation_cruise_car,reservation_id,uuid
reservation_cruise_car,car_price_code,text
reservation_cruise_car,car_count,integer
reservation_cruise_car,passenger_count,integer
reservation_cruise_car,pickup_datetime,date
reservation_cruise_car,pickup_location,text
reservation_cruise_car,dropoff_location,text
reservation_cruise_car,car_total_price,numeric
reservation_cruise_car,request_note,text
reservation_cruise_car,created_at,timestamp with time zone
reservation_cruise_car,updated_at,timestamp with time zone
reservation_cruise_car,unit_price,numeric
reservation_cruise_car,dispatch_code,text
reservation_cruise_car,pickup_confirmed_at,timestamp with time zone
reservation_cruise_car,dispatch_memo,text
reservation_hotel,reservation_id,uuid
reservation_hotel,schedule,text
reservation_hotel,room_count,integer
reservation_hotel,checkin_date,date
reservation_hotel,breakfast_service,text
reservation_hotel,hotel_category,text
reservation_hotel,guest_count,integer
reservation_hotel,total_price,numeric
reservation_hotel,hotel_price_code,text
reservation_hotel,request_note,text
reservation_hotel,id,uuid
reservation_hotel,created_at,timestamp with time zone
reservation_hotel,unit_price,numeric
reservation_hotel,assignment_code,text
reservation_payment,id,uuid
reservation_payment,reservation_id,uuid
reservation_payment,user_id,uuid
reservation_payment,amount,numeric
reservation_payment,payment_method,text
reservation_payment,payment_status,text
reservation_payment,memo,text
reservation_payment,created_at,timestamp with time zone
reservation_payment,updated_at,timestamp with time zone
reservation_payment,transaction_id,text
reservation_payment,gateway,text
reservation_payment,raw_response,jsonb
reservation_payments,id,uuid
reservation_payments,reservation_id,uuid
reservation_payments,payment_type,text
reservation_payments,payment_amount,numeric
reservation_payments,payment_date,date
reservation_payments,payment_status,text
reservation_payments,payment_method,text
reservation_payments,transaction_id,text
reservation_payments,notes,text
reservation_payments,created_at,timestamp with time zone
reservation_payments,updated_at,timestamp with time zone
reservation_payments,created_by,uuid
reservation_payments,interim_due_date,date
reservation_payments,final_due_date,date
reservation_rentcar,reservation_id,uuid
reservation_rentcar,rentcar_price_code,text
reservation_rentcar,rentcar_count,integer
reservation_rentcar,unit_price,numeric
reservation_rentcar,car_count,integer
reservation_rentcar,passenger_count,integer
reservation_rentcar,pickup_datetime,timestamp without time zone
reservation_rentcar,pickup_location,text
reservation_rentcar,destination,text
reservation_rentcar,via_location,text
reservation_rentcar,via_waiting,text
reservation_rentcar,luggage_count,integer
reservation_rentcar,total_price,numeric
reservation_rentcar,request_note,text
reservation_rentcar,id,uuid
reservation_rentcar,created_at,timestamp with time zone
reservation_rentcar,dispatch_code,text
reservation_rentcar,pickup_confirmed_at,timestamp with time zone
reservation_rentcar,dispatch_memo,text
reservation_tour,reservation_id,uuid
reservation_tour,tour_price_code,text
reservation_tour,tour_capacity,integer
reservation_tour,pickup_location,text
reservation_tour,dropoff_location,text
reservation_tour,total_price,numeric
reservation_tour,request_note,text
reservation_tour,id,uuid
reservation_tour,created_at,timestamp with time zone
reservation_tour,usage_date,date
reservation_tour,unit_price,numeric
room,id,uuid
room,base_price,numeric
room,created_at,timestamp with time zone
room,updated_at,timestamp with time zone
room,room_code,character varying
room,special_requests,text
room,person_count,integer
room,extra_count,integer
room,single_charge_count,integer
room,boarding_code,text
room,sale,character varying
room_price,room_code,text
room_price,schedule,text
room_price,room_category,text
room_price,cruise,text
room_price,room_type,text
room_price,price,numeric
room_price,start_date,date
room_price,end_date,date
room_price,payment,text
tour,id,uuid
tour,tour_code,character varying
tour,tour_date,date
tour,participant_count,integer
tour,special_requests,text
tour,base_price,numeric
tour,created_at,timestamp with time zone
tour,updated_at,timestamp with time zone
tour_price,tour_code,text
tour_price,tour_name,text
tour_price,tour_capacity,integer
tour_price,tour_vehicle,text
tour_price,tour_type,text
tour_price,price,numeric
users,id,uuid
users,reservation_date,date
users,email,text
users,name,text
users,english_name,text
users,nickname,text
users,phone_number,text
users,created_at,timestamp with time zone
users,kakao_id,text
users,role,text
users,birth_date,date
users,passport_number,character varying
users,passport_expiry,date
users,status,character varying
users,updated_at,timestamp without time zone
v_customer_requests_stats,total_requests,bigint
v_customer_requests_stats,pending_requests,bigint
v_customer_requests_stats,in_progress_requests,bigint
v_customer_requests_stats,completed_requests,bigint
v_customer_requests_stats,rejected_requests,bigint
v_customer_requests_stats,urgent_requests,bigint
v_customer_requests_stats,today_requests,bigint
v_customer_requests_stats,week_requests,bigint
v_notification_stats,total_notifications,bigint
v_notification_stats,unread_count,bigint
v_notification_stats,read_count,bigint
v_notification_stats,processing_count,bigint
v_notification_stats,completed_count,bigint
v_notification_stats,urgent_count,bigint
v_notification_stats,high_count,bigint
v_notification_stats,business_count,bigint
v_notification_stats,customer_count,bigint
vw_manager_cruise_car_report,id,uuid
vw_manager_cruise_car_report,reservation_id,uuid
vw_manager_cruise_car_report,usage_date,date
vw_manager_cruise_car_report,vehicle_number,text
vw_manager_cruise_car_report,seat_number,text
vw_manager_cruise_car_report,sht_category,text
vw_manager_cruise_car_report,created_at,timestamp with time zone
vw_manager_cruise_car_report,pickup_location,text
vw_manager_cruise_car_report,dropoff_location,text
vw_manager_cruise_car_report,pickup_datetime,date
vw_manager_cruise_car_report,booker_name,text
vw_manager_cruise_car_report,booker_email,text
vw_manager_cruise_car_report,pier_location,text
vw_manager_cruise_car_report,cruise_name,text
vw_manager_cruise_car_report,car_category,text
vw_manager_cruise_car_report,car_type,text
vw_manager_cruise_car_report,dispatch_code,text
vw_manager_sht_car_report,id,uuid
vw_manager_sht_car_report,reservation_id,uuid
vw_manager_sht_car_report,usage_date,timestamp with time zone
vw_manager_sht_car_report,vehicle_number,text
vw_manager_sht_car_report,seat_number,text
vw_manager_sht_car_report,sht_category,text
vw_manager_sht_car_report,created_at,timestamp with time zone
vw_manager_sht_car_report,pickup_location,text
vw_manager_sht_car_report,dropoff_location,text
vw_manager_sht_car_report,pickup_datetime,date
vw_manager_sht_car_report,booker_name,text
vw_manager_sht_car_report,booker_email,text
vw_manager_sht_car_report,pier_location,text
vw_manager_sht_car_report,cruise_name,text